                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.016,                 1.2879,                0.94842,                0.81726,                0.77404,                0.86126,                0.62637,                0.81252,                0.82996,                0.90245,              0.0033304,              0.0033304,              0.0033304
                      2,                0.99589,                 0.8552,                0.93138,                0.84139,                0.77808,                 0.8649,                0.63209,                0.84553,                0.78593,                0.91128,              0.0066373,              0.0066373,              0.0066373
                      3,                 1.0338,                0.83752,                 0.9436,                0.82207,                0.77713,                0.85663,                  0.607,                 0.8916,                0.81006,                0.93037,              0.0099179,              0.0099179,              0.0099179
                      4,                 1.0316,                0.78916,                0.94444,                0.84453,                0.80277,                0.87344,                   0.63,                0.85145,                0.74874,                0.91778,              0.0098812,              0.0098812,              0.0098812
                      5,                0.98712,                0.73756,                0.93604,                0.85065,                0.79367,                 0.8761,                0.63801,                0.86052,                0.71314,                0.92812,              0.0098812,              0.0098812,              0.0098812
                      6,                0.96616,                0.70599,                0.93146,                 0.8548,                0.80182,                0.88253,                0.64847,                0.84017,                0.67311,                0.92265,              0.0098416,              0.0098416,              0.0098416
                      7,                0.94818,                0.67633,                0.92605,                0.85792,                0.79439,                 0.8802,                0.65118,                0.82742,                0.68254,                0.92583,               0.009802,               0.009802,               0.009802
                      8,                0.92949,                0.65511,                0.92359,                0.85728,                0.80637,                0.88791,                 0.6633,                0.81648,                0.64618,                0.91807,              0.0097624,              0.0097624,              0.0097624
                      9,                0.91826,                0.64395,                0.92002,                0.85691,                0.81174,                0.88843,                0.66368,                0.81018,                0.63854,                0.91894,              0.0097228,              0.0097228,              0.0097228
                     10,                0.90861,                0.63081,                0.91888,                0.86054,                 0.8068,                0.89303,                 0.6711,                0.79672,                0.62305,                0.91521,              0.0096832,              0.0096832,              0.0096832
                     11,                0.90366,                0.62284,                0.91666,                0.87115,                0.80527,                 0.8942,                 0.6751,                0.80769,                0.62181,                0.92061,              0.0096436,              0.0096436,              0.0096436
                     12,                0.89168,                0.60919,                0.91243,                0.87213,                0.81774,                0.90156,                0.68023,                 0.7956,                0.59877,                0.91254,               0.009604,               0.009604,               0.009604
                     13,                0.88275,                0.60095,                0.90858,                0.86407,                0.82012,                0.90084,                0.68441,                0.78415,                0.59051,                0.91164,              0.0095644,              0.0095644,              0.0095644
                     14,                0.87452,                0.59478,                0.90852,                0.86451,                0.81888,                0.89678,                0.68044,                0.80089,                0.60283,                0.91698,              0.0095248,              0.0095248,              0.0095248
                     15,                0.86847,                0.58662,                 0.9069,                0.86368,                0.82681,                0.89912,                0.68112,                0.78948,                0.59711,                0.91458,              0.0094852,              0.0094852,              0.0094852
                     16,                0.85998,                0.58296,                0.90445,                0.87618,                0.82071,                 0.9047,                0.68761,                 0.7803,                0.58288,                0.90761,              0.0094456,              0.0094456,              0.0094456
                     17,                0.85652,                 0.5758,                0.90428,                0.87469,                0.82305,                0.90647,                0.68773,                0.79157,                0.57637,                0.91294,               0.009406,               0.009406,               0.009406
                     18,                0.85017,                0.57311,                0.90205,                0.86524,                 0.8321,                0.90896,                0.69498,                0.76913,                0.55854,                0.90417,              0.0093664,              0.0093664,              0.0093664
                     19,                0.85112,                0.56799,                0.90179,                0.87075,                 0.8372,                 0.9125,                0.70004,                0.76857,                0.56273,                0.90649,              0.0093268,              0.0093268,              0.0093268
                     20,                0.84066,                0.56275,                0.89813,                0.87103,                0.83266,                0.90721,                0.69548,                0.76594,                0.57106,                0.90499,              0.0092872,              0.0092872,              0.0092872
                     21,                0.84311,                0.55815,                0.90137,                0.87611,                0.83314,                 0.9137,                0.69869,                0.76909,                0.55932,                0.90923,              0.0092476,              0.0092476,              0.0092476
                     22,                0.83575,                0.55574,                0.89672,                0.87894,                0.82327,                0.90806,                0.69653,                0.76162,                0.56678,                0.90559,               0.009208,               0.009208,               0.009208
                     23,                0.83036,                0.54989,                0.89482,                0.88228,                 0.8237,                0.91246,                0.70161,                 0.7519,                0.55409,                0.90101,              0.0091684,              0.0091684,              0.0091684
                     24,                0.82564,                0.54741,                0.89542,                0.87204,                 0.8421,                0.91489,                0.70478,                0.75347,                0.55284,                0.90115,              0.0091288,              0.0091288,              0.0091288
                     25,                0.82182,                0.54381,                0.89513,                0.87083,                0.83609,                0.91438,                0.70373,                0.75954,                0.54747,                0.91105,              0.0090892,              0.0090892,              0.0090892
                     26,                 0.8229,                0.54454,                0.89482,                0.87969,                 0.8377,                0.91716,                0.70614,                0.75367,                0.54619,                 0.9041,              0.0090496,              0.0090496,              0.0090496
                     27,                0.82378,                0.54197,                0.89308,                0.87237,                0.83942,                0.91641,                0.70498,                0.76422,                0.54458,                 0.9079,                0.00901,                0.00901,                0.00901
